"","extr","Name","R.Time","Area","Height","Conc.","Curve","X1st","Constant","Sample_ID","SN","Concm"
"1",1,"CH4",3.248,43019,4063,12.01077,"Default",0.0004181727,-5.978499,"GA R1$ CC_SF, PL_INC (Day 35)",19,12.01077
"2",1,"CO2",6.66,239325761,15713981,49292.22211,"Default",0.0002061328,-40.67114,"GA R1$ CC_SF, PL_INC (Day 35)",19,49292.22211
"3",1,"N2O",7.27,4606004,296866,271.59342,"Default",5.896508e-05,0,"GA R1$ CC_SF, PL_INC (Day 35)",19,271.59342
"4",1,"CH4",3.249,42772,4184,11.90778,"Default",0.0004181727,-5.978499,"GA R2$ CC_SF, PL_INC (Day 35)",20,11.90778
"5",1,"CO2",6.655,273267460,17983487,56288.72024,"Default",0.0002061328,-40.67114,"GA R2$ CC_SF, PL_INC (Day 35)",20,56288.72024
"6",1,"N2O",7.278,10812818,677924,637.57875,"Default",5.896508e-05,0,"GA R2$ CC_SF, PL_INC (Day 35)",20,637.57875
"7",1,"CH4",3.247,42522,4275,11.80291,"Default",0.0004181727,-5.978499,"GA R3$ CC_SF, PL_INC (Day 35)",21,11.80291
"8",1,"CO2",6.655,284152499,18607563,58532.48395,"Default",0.0002061328,-40.67114,"GA R3$ CC_SF, PL_INC (Day 35)",21,58532.48395
"9",1,"N2O",7.235,54461,6499,3.21129,"Default",5.896508e-05,0,"GA R3$ CC_SF, PL_INC (Day 35)",21,3.21129
"10",1,"CH4",3.247,41836,4004,11.51607,"Default",0.0004181727,-5.978499,"GA R1$ CC_SF, PL_SF (Day 35)",22,11.51607
"11",1,"CO2",6.673,176883185,11450864,36420.75817,"Default",0.0002061328,-40.67114,"GA R1$ CC_SF, PL_SF (Day 35)",22,36420.75817
"12",1,"N2O",7.28,4822184,316346,284.34049,"Default",5.896508e-05,0,"GA R1$ CC_SF, PL_SF (Day 35)",22,284.34049
"13",1,"CH4",3.249,42866,4121,11.94703,"Default",0.0004181727,-5.978499,"GA R2$ CC_SF, PL_SF (Day 35)",23,11.94703
"14",1,"CO2",6.654,288677674,18978573,59465.27106,"Default",0.0002061328,-40.67114,"GA R2$ CC_SF, PL_SF (Day 35)",23,59465.27106
"15",1,"N2O",7.259,66692,4621,3.9325,"Default",5.896508e-05,0,"GA R2$ CC_SF, PL_SF (Day 35)",23,3.9325
"16",1,"CH4",3.246,41484,4152,11.36911,"Default",0.0004181727,-5.978499,"GA R3$ CC_SF, PL_SF (Day 35)",24,11.36911
"17",1,"CO2",6.654,279350072,18352444,57542.54622,"Default",0.0002061328,-40.67114,"GA R3$ CC_SF, PL_SF (Day 35)",24,57542.54622
"18",1,"N2O",7.27,47383,3270,2.79395,"Default",5.896508e-05,0,"GA R3$ CC_SF, PL_SF (Day 35)",24,2.79395
"19",1,"CH4",3.245,41039,4103,11.18304,"Default",0.0004181727,-5.978499,"GA R1$ CC_INC, PL_INC (Day 35)",25,11.18304
"20",1,"CO2",6.666,208472887,13588295,42932.43241,"Default",0.0002061328,-40.67114,"GA R1$ CC_INC, PL_INC (Day 35)",25,42932.43241
"21",1,"N2O",7.275,4801499,312122,283.12082,"Default",5.896508e-05,0,"GA R1$ CC_INC, PL_INC (Day 35)",25,283.12082
"22",1,"CH4",3.252,40778,4080,11.07396,"Default",0.0004181727,-5.978499,"GA R2$ CC_INC, PL_INC (Day 35)",26,11.07396
"23",1,"CO2",6.678,165613684,10603755,34097.74407,"Default",0.0002061328,-40.67114,"GA R2$ CC_INC, PL_INC (Day 35)",26,34097.74407
